file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2012-M-D-B08-5-R-03_0091_586315_to_591725,རཱ། ཨེ་ནས་ཁོ་ཕྱུག་རུ་ཕྱུག་རུ་ཕྱུག་རུ་འགྲོ། ཨེ་ནས་ཁོ་རི་མོ་བྲིས་རཱ། མཁས་རུ་མཁས་རུ་མཁས་རུ་འགྲོ་ཡི་རེད་ད། ཨེ་ནས་ཁོ་ཡིས་རི་མོ་ ,rA/_e nas kho phyug ru phyug ru phyug ru 'gro/_e nas kho ri mo bris rA/_mkhas ru mkhas ru mkhas ru 'gro yi red da/_e nas kho yis ri mo _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-M-D-B08-5-R-03_0091_586315_to_591725.wav,STT_CS,3,123,5.41,wav16k/STT_CS-D-2012-M-D-B08-5-R-03_0091_586315_to_591725.wav,རཱ། ཨ་ནས་ཁོ་ཕྱུག་རུ་ྱུག་རུ་ྱུག་རུ་འགྲོ། ཨ་ནས་ཁོ་རི་མོ་བྲི་རཱ། འཁ་རུ་ཁེ་རུ་འཁེ་རུ་འགྲོ་ཡི་རེད་ད། ཨ་ནས་ཁོ་རི་མོ།
STT_TT00519_0619_3608216_to_3614035,སངས་རྒྱས་སྒྲུབ་པའི་ཐབས་ལ་འགྲོ་གི་རེད་གསུངས་རེད་བ། ད་མཆོག་གི་དངོས་གྲུབ་སྒྲུབ་པའི་ཐབས་ལ་མ་འགྲོ་ན། དེ་ནས། དེ་ཚོ་འགྲིག་གི་མི་འདུག ཐམས་ཅད་དང་འགལ་བར་འགྱུར་རོ་ཟེ།  ,sangs rgyas sgrub pa'i thabs la 'gro gi red gsungs red ba/_da mchog gi dngos grub sgrub pa'i thabs la ma 'gro na/_de nas/_de tsho 'grig gi mi 'dug_thams cad dang 'gal bar 'gyur ro ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00519_0619_3608216_to_3614035.wav,STT_TT,3,157,5.819,wav16k/STT_TT00519_0619_3608216_to_3614035.wav,སངས་རྒྱས་སྒྲུབ་པའི་ཐབས་ལ་འགྲོ་གི་རེད་གསུངས་རེད་བ། ད་མཆོག་གི་དངོན་གྲུབ་སྒྲུབ་པའི་ཐབས་ལ་མ་འགྲོ་ན། དེ་ནས་དེ་ཚོ་འགྲིག་གི་མི་འདུག ཐམས་ཅད་དང་འགལ་བར་འགྱུར་རོ་ཟེ།
STT_TT00505_0324_2693131_to_2695776,རྒྱ་ཆེན་སྤྱོད་རྒྱུད་དང་། ཟབ་མོ་ལྟ་རྒྱུད་ཀི་བླ་མ་ག་ཚོད་ཡོད་རེད།  ,rgya chen spyod rgyud dang /_zab mo lta rgyud ki bla ma ga tshod yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00505_0324_2693131_to_2695776.wav,STT_TT,3,64,2.645,wav16k/STT_TT00505_0324_2693131_to_2695776.wav,རྒྱ་ཆེན་སྤྱོད་རྒྱུད་དང་ཟབ་མོ་ལྟ་རྒྱུད་ཀི་བླ་མ་ག་ཚོད་ཡོད་རེད།
STT_TT00534_0252_1657847_to_1661111,ད། རྒྱུ་འབྲས་ལྷུན་འགྲུབ་ཀྱི་ཐེག་པ་ཟེ། ད་གསང་སྔགས་རྡོ་རྗེ་ཐེག་པའི་མིང་རེད། དེ་ཡིན་དུས།  ,da/_rgyu 'bras lhun 'grub kyi theg pa ze/_da gsang sngags rdo rje theg pa'i ming red/_de yin dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00534_0252_1657847_to_1661111.wav,STT_TT,3,87,3.264,wav16k/STT_TT00534_0252_1657847_to_1661111.wav,ད་རྒྱུ་འབྲས་ལྷུན་གྲུབ་ཀྱི་ཐེག་པ་ཟེ། ད་གསང་སྔགས་རྡོ་རྗེ་ཐེག་པའི་མིང་རེད། དེ་ཡིན་དུས།
STT_CS-L-2014_2012-P_P-D_D-B04_B05-4_5-R_R-01_0112_928090_to_930598,ཨཡིསི་ཁྀརེམ་མཐོང་སོང་། ཨཡིསི་ཁྀརེམ་མ་ཉོ་ཨ་ང་།  ,ayisi kh-irem mthong song /_ayisi kh-irem ma nyo a nga /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2014_2012-P_P-D_D-B04_B05-4_5-R_R-01_0112_928090_to_930598.wav,STT_CS,3,47,2.508,wav16k/STT_CS-L-2014_2012-P_P-D_D-B04_B05-4_5-R_R-01_0112_928090_to_930598.wav,ྟ། ཨཡི་སི་ཁྀརེམ་བཏོང་། ཨཡི་སི་ཁྀརེམ་མ་ཡོང་བ། ང་།
STT_TT00665_0432_3974119_to_3976295,གཅིག་གི་རས་གཙང་མ་ཅིག་ནང་ལ། ཨེ་ནས། ག ,gcig gi ras gtsang ma cig nang la/_e nas/_ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00665_0432_3974119_to_3976295.wav,STT_TT,3,36,2.176,wav16k/STT_TT00665_0432_3974119_to_3976295.wav,ཅིག་གི་རས་གཙང་མ་ཅིག་ནང་ལ། ཨེ་ནས་ག
STT_TT00625_0226_1617551_to_1625435,ཙ། ཚན་རིག་ད་མཉམ་དུ་ལ་འགྲོ་ཐུབ་ངེ་གི། ཨེ་ཆོས་ཆོས་བརྒྱུད་ཕལ་ཆེར། བོད་ཀི་ནང་ཆོས་ལ་མ་གཏོགས། ཧ་ལམ་མེད་པའི་བཟོ་འདྲ་བོ་ཅིག་རེད།  ,tsa/_tshan rig da mnyam du la 'gro thub nge gi/_e chos chos brgyud phal cher/_bod ki nang chos la ma gtogs/_ha lam med pa'i bzo 'dra bo cig red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00625_0226_1617551_to_1625435.wav,STT_TT,3,122,7.884,wav16k/STT_TT00625_0226_1617551_to_1625435.wav,ཙ།ཚན་རིག་དང་མཉམ་དུ་ལ་འགྲོ་ཐུབ་ངེ་གི། ཨ ཆོས་བརྒྱུད་ཕལ་ཆེར། བོད་ཀི་ནང་ཆོས་ལ་མ་གཏོགས། ཧ་ལམ་མེད་པའི་ཟོལ་འདྲ་བོ་ཅིག་རེད།
STT_TT00676_0413_2799803_to_2802431,ད་ཁ་འདོན་དེ་ཚོ་ཡེ། རྟག་པ་ཡག་པོ་ཅིག་བྱེད་ཡ་རག་གི་མི་འདུག་བ།  ,da kha 'don de tsho ye/_rtag pa yag po cig byed ya rag gi mi 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00676_0413_2799803_to_2802431.wav,STT_TT,3,60,2.628,wav16k/STT_TT00676_0413_2799803_to_2802431.wav,ད་ཁ་འདོན་དེ་ཚོ་ཡེ་། རྟག་པར་ཡག་པོ་ཅིག་བྱེད་ཡ་རག་གི་མི་འདུག་ག།
STT_TT00679_0577_3936015_to_3938353,གཞན་གྱི་སྡུག་བསྔལ་རྒྱུ་དང་བཅས་པ་རང་གིས་ལེན་པ་དང་།  ,gzhan gyi sdug bsngal rgyu dang bcas pa rang gis len pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00679_0577_3936015_to_3938353.wav,STT_TT,3,51,2.338,wav16k/STT_TT00679_0577_3936015_to_3938353.wav,གཞན་གྱི་སྡུག་བསྔལ་རྒྱུ་དང་བཅས་པ་རང་གིས་ལེན་པ་དང་།
STT_CS-X-2012-P-D-B06-6-R-01_0116_1096885_to_1101885,སྒྲུང་བཤད་མཁན། ཧ་ཧ། སུ་རེད། ང་རེད་ལབ་སོང་། སྒྲུང་བཤད་མཁན་གཉིས་འདུག ,sgrung bshad mkhan/_ha ha/_su red/_nga red lab song /_sgrung bshad mkhan gnyis 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B06-6-R-01_0116_1096885_to_1101885.wav,STT_CS,3,67,5.0,wav16k/STT_CS-X-2012-P-D-B06-6-R-01_0116_1096885_to_1101885.wav,སྒྲུང་བཤད་མྱན།  སུ་རེད། མ་ལབ་སོང་། ་གིས།
